@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,39,43,44,45,46,48,49,50,51,52,53,54,55,56,57,60,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,180,186,231,241}

@data
9,3,17,2,330,214,-1.4,97
15,2,16,1,329,215,-1.87,115
10,2,15,2,312,212,-0.93,105
9,2,16,1,322,216,-0.92,99
9,2,16,2,321,215,0,111
6,2,18,1,323,218,-0.46,110
7,2,19,2,324,217,-0.47,99
11,2,17,2,328,215,0,101
9,2,14,1,330,217,-0.46,98
10,1,15,1,326,219,-0.46,105
13,2,16,2,330,217,-0.92,100
12,1,14,1,325,216,-1.38,111
9,2,15,1,318,217,0,44
8,2,17,2,327,214,0,101
14,1,17,2,333,214,0.93,115
9,2,14,2,334,212,0.47,116
9,2,17,2,331,214,0.47,101
9,2,15,2,321,210,0.47,109
8,3,17,2,319,212,0,117
10,3,?,?,321,216,-0.46,110
8,2,17,1,324,215,0,100
7,2,15,2,321,217,0,111
12,2,17,2,326,213,-0.46,101
9,2,17,2,326,214,0,114
10,2,16,2,334,213,1.41,97
11,3,18,2,327,213,0,101
9,2,14,2,325,214,0,108
14,1,17,1,325,215,0.48,100
13,2,16,2,327,215,-0.46,101
7,3,?,?,321,215,1.41,108
9,3,15,1,317,211,0,111
9,2,20,3,322,213,0,115
8,3,16,2,319,217,-0.48,109
8,2,17,2,316,213,-0.47,105
13,2,17,2,323,213,-0.93,115
13,2,15,1,325,212,-0.94,116
13,2,17,2,330,208,-2.4,101
12,2,15,1,328,209,-0.95,114
7,2,15,1,327,213,0,105
8,3,14,1,318,213,-0.46,111
3,3,18,2,325,213,-0.94,115
9,3,19,3,319,211,0.47,121
8,2,?,?,316,216,-0.46,108
9,3,17,2,314,213,0.48,111
7,2,18,1,316,217,1.42,115
7,2,13,2,310,215,0.94,8
8,2,13,2,310,216,0.93,8
13,2,18,2,317,216,0.48,97
9,2,18,2,323,217,0.47,115
10,2,17,2,311,216,0,108
7,3,17,2,315,214,-0.93,101
8,2,15,1,318,215,0,121
9,2,17,2,327,215,0.47,101
10,2,17,2,323,216,0.47,110
8,2,18,2,321,215,0,100
11,2,18,1,325,218,0.47,97
17,2,17,2,324,222,1.81,115
10,2,16,2,319,211,0.47,121
14,2,17,1,320,215,0.93,115
10,3,19,3,324,211,0.47,101
9,2,17,2,320,213,0.93,99
10,2,14,1,322,213,1.4,111
10,3,16,2,320,213,0.47,110
8,2,17,2,321,216,0.47,118
9,2,16,1,322,216,0.47,101
8,2,17,2,322,214,0.94,114
10,2,16,2,319,212,0.47,116
8,2,15,2,313,216,1.41,105
8,1,19,2,322,215,1.4,97
10,2,18,2,319,211,0.47,101
8,2,21,3,319,216,1.88,110
8,3,15,1,316,215,0.94,109
8,2,18,2,318,212,1.4,117
8,2,15,2,321,217,2.35,110
10,2,17,2,321,214,1.86,100
8,2,17,1,318,216,1.4,111
10,1,17,2,320,211,0.94,116
14,2,17,1,326,213,1.4,101
9,1,15,1,323,215,2.33,111
12,1,14,1,320,214,1.41,108
7,2,15,2,314,215,1.4,231
9,2,13,2,309,214,0.93,8
10,2,15,2,316,213,1.86,111
10,2,17,2,321,213,2.76,103
9,2,17,2,325,215,0.93,105
9,2,15,2,323,212,2.33,99
9,2,13,1,321,214,0.94,111
9,2,16,2,306,214,0.47,45
10,2,18,2,315,211,0.47,101
11,2,19,2,322,212,0.94,115
13,2,17,1,320,211,0.93,99
9,2,15,1,319,216,1.39,111
8,2,16,1,312,218,1.41,108
14,2,16,1,312,217,-0.46,97
15,2,19,2,320,215,0.93,115
11,2,16,2,327,215,1.4,116
11,2,18,2,321,215,1.83,105
10,3,16,1,322,216,0,99
10,2,15,2,323,215,1.83,111
14,2,17,2,320,215,0.93,101
14,2,15,2,322,214,0.93,110
8,3,16,1,311,219,0.93,109
7,2,16,2,312,218,0.93,97
8,1,17,2,324,217,0.93,110
9,1,16,2,315,216,0.93,111
10,2,19,2,319,217,0.94,115
16,2,17,3,322,215,0.47,100
14,2,16,2,323,214,1.85,101
12,2,18,2,313,218,0.93,108
8,2,16,2,314,217,1.4,111
14,1,18,2,318,217,1.4,115
14,2,21,2,324,217,0,100
9,2,18,1,322,216,1.4,111
