@relation pressed_keys-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute left_x numeric
@attribute left_y numeric
@attribute right_x numeric
@attribute right_y numeric
@attribute centre_x numeric
@attribute centre_y numeric
@attribute head_angle numeric
@attribute pressed_key {8,13,44,45,46,48,49,50,51,52,53,54,55,56,57,60,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,161,231,241}

@data
24,2,28,1,281,188,-0.38,161
23,2,26,2,284,189,-1.14,97
20,3,25,2,279,188,-1.56,114
22,2,26,2,265,184,-1.5,8
20,2,25,2,267,184,-1.53,116
21,3,26,2,268,184,-2.25,114
20,2,26,1,269,186,-1.52,105
22,3,28,2,278,189,-1.12,100
19,1,25,1,278,188,0.38,97
21,1,20,1,291,184,0,49
23,2,26,2,276,186,-1.14,99
23,2,27,1,274,183,-2.29,114
20,3,22,2,275,183,-1.53,101
?,?,25,1,274,181,-1.56,111
20,3,20,2,273,182,-2.32,113
20,2,27,2,275,187,-0.76,117
?,?,27,2,275,184,-0.76,101
21,2,25,2,278,188,-1.12,116
23,4,27,2,280,188,-1.89,101
23,3,25,2,279,187,-0.74,110
23,3,27,2,276,186,-0.37,100
22,3,25,2,275,186,-1.13,114
22,3,26,2,275,184,-1.51,101
22,3,25,1,274,185,-0.37,109
?,?,26,2,273,184,-0.37,111
18,2,19,2,272,179,-1.14,115
17,2,16,2,273,183,0.76,113
18,3,18,2,273,182,0.77,117
18,2,20,2,275,180,0.76,101
23,2,25,2,287,187,1.85,118
23,4,26,2,284,187,1.11,111
21,2,27,2,279,187,0,108
26,3,29,3,278,185,0.72,118
24,3,27,2,275,184,0.37,101
21,2,26,2,274,181,0.37,114
19,2,17,3,273,179,-1.47,97
19,3,18,2,274,180,-0.37,116
18,2,17,2,277,180,-0.37,114
19,2,18,2,278,180,0,97
18,3,17,2,280,181,-0.75,115
20,3,25,3,277,190,0.38,44
22,3,27,3,280,188,0.37,121
24,2,26,2,280,186,0.37,101
22,3,26,2,285,184,1.87,110
17,2,16,2,285,179,3.06,100
17,2,18,2,285,177,3.44,111
